,NTSX,Platinum,F-TAA Weekly,SPY
2022-02-04,131715.18555977332,132613.1263342933,110109.16531783476,150700.18475414772
2022-02-07,131498.38659538788,132459.81670849462,109939.01030073182,150216.5466322469
2022-02-08,132231.0226110155,133549.7444580898,110404.20519144452,151452.54918795495
2022-02-09,133607.1596927599,135369.36189425865,111670.17058542965,153669.21429673216
2022-02-10,131693.80484736507,134184.89341891318,110575.24940114522,150908.4418759143
2022-02-11,130378.01537368086,133027.54851160533,110267.70211978076,147932.71917869605
2022-02-14,129876.07943408977,133113.0804755797,109800.84005248238,147449.08105679526
2022-02-15,131030.3460172768,134039.58087445993,109617.23609821634,149826.95887287275
2022-02-16,131192.08782291808,134190.78352378137,109771.80241706951,149994.86473480682
2022-02-17,129557.7403286938,131730.88561005652,109402.46019281256,146790.80545192063
2022-02-18,129369.07196032674,131329.45333628205,109351.47345097836,145840.30056110947
2022-02-22,128728.7451637996,130629.55489450983,109282.09292014064,144275.21790257306
2022-02-23,126747.52662373013,129535.43663793607,109124.31273898511,141715.97098248202
2022-02-24,127859.17772553004,130644.68587836165,109466.40866229509,143848.66392708925
2022-02-25,129442.04367503067,131281.0600926533,110389.78482985224,147022.5655477174
2022-02-28,130236.85159158606,131452.50193681204,110459.56442609534,146646.3640976108
2022-03-01,129667.85464618205,131556.098711775,111147.91986325252,144412.92763584314
2022-03-02,131090.25579504872,131503.43971636562,112850.1364192355,147069.57149577772
2022-03-03,131181.0690939978,131509.514953384,112986.72202290922,146337.3634586838
2022-03-04,131461.4629077477,131617.34476789043,113701.72552543838,145148.48225025396
2022-03-07,129486.6293927148,131584.08201370316,114334.03098895478,140869.55618614817
2022-03-08,129451.34756865544,131934.6673881322,115048.36853594158,139801.57489159203
2022-03-09,129592.4383790355,131758.06173518725,113241.3886914439,143549.74148651888
2022-03-10,128918.83648060338,131715.5479597111,113785.43659657972,142901.5440800009
2022-03-11,128681.64192195822,131459.96900883742,113777.01523822328,141084.58339536042
2022-03-14,126909.45085865817,131090.13489313476,112765.6812194963,140053.45291769612
2022-03-15,127934.33859167508,131040.02559770813,111861.35271712334,143133.26570939168
2022-03-16,129882.86580355723,131396.67784030695,112238.45717897358,146307.16733001982
2022-03-17,130995.57499522035,131580.85862071475,113455.57656744227,148137.55279033384
2022-03-18,132129.4459841476,131577.1469279211,113838.7067641414,149760.10425934664
2022-03-21,132224.0538122613,131647.50093206915,114807.73972557623,149716.32948938536
2022-03-22,132803.26679772386,131767.28129815872,115486.02559944423,151468.20501517307
2022-03-23,132618.86727466702,131858.5623391112,115511.88621164858,149517.57356988633
2022-03-24,133601.8327575865,132316.76784179572,116171.95756668168,151771.43569320886
2022-03-25,134047.5439909982,132098.49194553186,117026.800284842,152512.60640288712
2022-03-28,134125.5872398741,131850.07919974075,116246.33599047696,153597.47444965152
2022-03-29,135301.45345061348,133149.40030794762,116877.33665118944,155497.56103753127
2022-03-30,135106.40005720983,132463.8753384217,116913.88161805282,154537.43954523475
2022-03-31,133610.8812502098,131381.43500016915,115697.09951940388,152158.8693338503
2022-04-01,134261.60651608222,131035.39986720438,116215.42247080964,152590.11621085898
2022-04-04,134643.35804155594,133757.47564585792,116994.75424020244,153897.2816175585
2022-04-05,132920.13099882222,130726.556455054,116004.18933419272,151953.3433269056
2022-04-06,131668.59311993484,126916.8283439875,115431.52378708556,150433.95875862753
2022-04-07,131817.4554179309,127203.3933371308,115905.4959883149,151191.93928770217
