,NTSX,Platinum Proxy-Aware,F-TAA Stitched,SPY
2009-02-24,78427.01506315403,103319.67400951692,83752.29278393343,52497.90281473295
2009-02-25,77539.488146805,102747.94312418727,83260.76499400308,52084.572124153376
2009-02-26,76434.83018071586,102572.44976522548,82912.01281025237,51237.689672638895
2009-02-27,75452.48970602796,102393.16653072104,82792.1896048715,50092.596485537935
2009-03-02,74323.12820733366,101681.68910770092,81715.96506693117,47836.24536767312
2009-03-03,73099.8532790189,101382.40313789777,81464.01073013587,47477.17121240333
2009-03-04,73817.65592479725,101186.68471377832,81875.5516199934,48601.94322484028
2009-03-05,72565.27683458736,102032.07643614055,81483.19467354049,46616.674574907054
2009-03-06,72427.35711206704,102088.02471152248,81423.5627171112,46697.95927356305
2009-03-09,71761.86194625832,101408.5743537147,81011.16756208464,46149.087349017675
2009-03-10,73874.96411986915,100944.82243744316,81869.96722027498,48900.05385611807
2009-03-11,74399.83917700232,101393.84823569871,82010.44975122879,49218.485662059866
2009-03-12,76413.32710577613,102217.46821898955,82791.7444629166,51156.304869674204
2009-03-13,76671.46401935477,102309.29220546772,82882.45881308586,51556.12147858069
2009-03-16,75834.74436844468,102028.57737006055,82645.90623767066,51400.259069950895
2009-03-17,77274.95031789548,101985.63139071301,83222.90270749373,52972.19702930454
2009-03-18,79233.6304091485,103102.62685909263,83906.15968971536,54157.9325657335
2009-03-19,78325.40053227612,103500.7670426612,83540.6118779805,53487.13359320412
2009-03-20,77155.53324125349,103163.99909224294,83222.50668827789,52348.24687324192
2009-03-23,80522.01464809467,103004.1313297789,84529.78123006529,56108.364916242725
2009-03-24,79603.48329811163,102522.50619885887,83964.73741304607,55002.812931074186
2009-03-25,79970.83582952362,102898.04636890083,84349.18803383801,55582.91739993073
2009-03-26,81655.5767474749,103055.50521060183,84776.56285213774,56715.69775706286
2009-03-27,80858.76280308084,102528.51386440593,84241.08565306658,55692.03109640245
2009-03-30,79207.92673352291,102174.7709627741,83491.45128569039,53767.625866152535
2009-03-31,79639.88850405609,102322.58982762255,83606.78424335367,54265.84501050095
2009-04-01,80962.17759139556,102715.45691312442,84118.3532465705,55316.74004312493
2009-04-02,82208.95588069093,102773.04409442325,84503.70762024519,56934.125358623685
2009-04-03,82059.33448483134,102804.0742336129,84460.95536326777,57500.515537189756
2009-04-06,81377.53698778925,101963.50406443524,83874.31908171241,57050.04614808631
2009-04-07,80155.46223109907,101842.10565109973,83478.3113789803,55719.35957267473
2009-04-08,81073.49350957187,102083.81068481838,83718.89260920706,56319.88532050397
2009-04-09,83178.79456762318,102706.15862716301,84466.95425018632,58558.21766280464
2009-04-13,83612.25655268705,103067.88523389534,84797.81439695875,58571.83184878644
2009-04-14,82512.4992873981,102916.65715755474,84265.89388272517,57561.87947841651
2009-04-15,83207.29864370606,102695.79479499438,84688.52197232757,58176.01941222754
2009-04-16,83812.08512817333,102784.50419933995,84866.427144252,59029.10833088077
2009-04-17,83941.7036636239,102546.3538546872,84764.74531772436,59424.92076743967
2009-04-20,81802.69778578337,102386.93188041475,83594.75068473583,56934.125358623685
